RSC,PI,KR,Mg,Na,SAR,SSP,EC,IWQI,USABLE
-8.19,37.2,0.4,54,29.6,1.7,35.3,1110,-20.66825397,0
-7.61,36.4,0.5,46.6,36,1.8,39.3,1755,-2.208333333,0
-7.66,42.5,0.6,44.1,36.9,2.3,43.2,1260,-8.057242063,0
-4.64,69.5,1.7,53.3,63.6,5.7,71.4,1490,60.01904762,1
-5.15,52.7,0.7,50.6,43.4,2.7,49.2,1520,29.46488095,0
-6.43,53.9,0.9,40.8,49.4,3.4,55.1,1670,22.43194444,0
-5.71,51.7,0.8,41.2,43.8,2.8,50.9,1870,28.62242063,0
-3.5,69,1.4,57.5,58.8,5,67.1,1760,71.31865079,1
-3.05,47.4,0.4,47.7,29.3,1.3,34,1500,36.78164683,0
-4.32,80.7,3,55.7,75.6,11,81.6,1350,84.29960317,1
-6.86,49.7,0.8,49.6,43.9,3,52.1,1235,8.752083333,0
-3.95,50.1,0.5,29.7,36.8,1.8,40.7,1830,34.46309524,0
-2.09,66.9,1,48.3,51.7,3,58.6,3180,97.34434524,1
-1.28,79.4,1.8,53.3,68.2,4.1,71.8,437,79.09662698,1
-2.78,64.1,1.1,49,54.2,3,61.2,343,45.10059524,0
-3.83,48.1,0.5,42.5,33.3,1.6,39,519,14.99831349,0
-6.46,38.3,0.4,58.6,27.4,1.4,34.3,453,-14.11765873,0
-4.61,52.6,0.8,53.9,46.9,2.6,53.9,1340,35.7046627,0
-2.83,82,3,39.1,75.5,9.2,80,1568,97.23382937,1
-2.82,43.6,0.3,49.6,28.2,0.8,26.5,1160,29.81210317,0
-3.73,65.2,1.2,51,56.8,4,62.7,1380,56.29563492,1
-5.94,58.3,1.2,49.2,55.5,4.3,63.2,1589,35.92390873,0
-3.82,73.3,1.8,52.4,65.7,6.3,72.6,1147,65.16220238,1
-5.84,50.1,0.7,45.5,42.2,2.6,48.3,1480,19.48948413,0
-6.25,38.7,0.4,35.7,32.7,1.6,37,1610,4.082242063,0
-9.82,26.3,0.2,61.2,19.9,1,23.1,1113,-45.29871032,0
-7.58,30.2,0.3,45.8,30.9,1.3,31.6,1785,-8.248115079,0
-6.24,64.3,1.4,41.4,59.7,5.4,66.3,1280,31.41339286,0
-6.06,58.3,1.1,37.8,52.2,4,59.1,1540,27.9593254,0
-3.6,50.1,0.5,41,38.1,1.8,40,1495,35.4360119,0
-4.26,53.5,0.8,42.1,47.8,2.5,51.4,1660,41.33551587,0
-4.4,53,0.7,48.1,44.2,2.4,50.8,1850,42.33511905,0
-0.52,88.9,3.7,32,79.2,9.9,82.8,1740,130.8333333,1
-0.82,77.5,1.5,31,60.7,4.2,66,1505,89.35803571,1
-2.95,80.8,2.7,40.5,73.8,8.9,78.9,1343,88.90496032,1
-6.06,55,0.9,38.6,48.8,3.5,56.1,1240,18.74365079,0
-3.77,57.2,0.8,48.6,45.4,2.6,52,1840,50.9906746,1
-1.83,73.5,1.4,41.4,60.6,4.1,66,3215,108.7097222,1
-2.8,64.1,1,26.8,53.7,2.9,56.3,424,38.41656746,0
-4.91,48.2,0.6,23.3,40.8,2.2,44.6,326,1.193253968,0
-2.52,55.2,0.5,45.7,37,1.6,43.1,505,32.1140873,0
-3.47,48.1,0.4,21.2,31.5,1.4,35.1,432,9.31359127,0
-4.44,41.3,0.3,54.9,26.1,1.2,32.1,564,5.614583333,0
-7.26,44.2,0.6,52.9,37.9,2.4,45.6,489,-13.42172619,0
-2.87,52.8,0.5,43.2,37.7,1.7,41,1640,46.24037698,0
-5,55.8,0.8,38.7,45.1,3.1,51.5,1850,36.26081349,0
-2.42,57.1,0.6,43.4,39.3,1.9,45.3,489,34.92212302,0
-6.11,40.1,0.5,47.5,32.8,1.7,38.9,536,-7.808730159,0
-4.97,53.4,0.7,55.3,44.6,2.7,51.6,615,18.45654762,0
-7.17,70.8,1.9,45.2,66.2,8.1,73,485,20.72202381,0
-7.18,56.8,1.1,38.2,55,4.3,59.5,406,-1.125198413,0
-4.92,45.4,0.5,57.6,33,1.7,39.9,437,6.225198413,0
-6.1,47.2,0.6,51.9,36.3,2.3,44.2,429,-3.455456349,0
-3.48,66,1.2,47.1,55.2,4.1,62.5,483,42.53293651,0
-6.75,35.4,0.4,42.9,27.8,1.4,32.5,444,-21.93551587,0
-3.89,49.1,0.5,49.7,34.7,1.7,41.5,494,17.0921627,0
-4.85,49.8,0.6,37.2,37.4,2.2,43.4,1550,24.59146825,0
-2.39,55.5,0.5,48.5,36.4,1.7,43.4,1265,46.79126984,0
-3.42,57.3,0.7,29.2,43.1,2.5,48.8,1320,38.5703373,0
-5.3,38.9,0.3,41.8,25.6,1.2,29.8,1555,9.096428571,0
-2.1,66.2,1,39.1,49.9,3,56.8,1330,62.9735119,1
-3.51,49.5,0.5,40.2,34.2,1.7,38.9,1410,33.04900794,0
-3.46,55.3,0.7,37.4,40.2,2.3,46.6,1205,36.35138889,0
